TripID,DepartureLocationCountry,DepartureLocationCity,ArrivalLocationCountry,ArrivalLocationCity,ShippingType,ShippingTypeDescription,Purpose,OutOfPolicy,EntitiyCode,BusinessUnit,HotelNights,NetCosts
2,BR,Ṣo Paulo,ZA,Johannesburg,12,Business Class Flight,Customer Visit,Yes,8000,Sales,6,2400
4,CN,Beijing,GB,London,10,Economy Flight,Internal Business Trip,No,8000,Customer Support,3,3150
5,AU,Sydney,US,Los Angeles,10,Economy Flight,Conference/Exhibition,No,8000,Marketing,6,3000
14,BR,Ṣo Paulo,US,Miami,10,Economy Flight,Conference/Exhibition,No,8000,Executive Management,2,1350
15,DE,Berlin,ES,Madrid,12,Business Class Flight,Conference/Exhibition,Yes,8000,Marketing,2,2850
17,MX,Mexico City,US,Miami,13,BMW 3 diesel,Conference/Exhibition,No,9000,Executive Management,3,2700
22,BR,Ṣo Paulo,JP,Tokyo,10,Economy Flight,Customer Visit,No,10000,Sales,2,2850
23,AU,Sydney,DE,Frankfurt,10,Economy Flight,Conference/Exhibition,No,10000,Legal,5,3000
25,US,New York,CA,Toronto,4,Train,Customer Visit,No,7000,Executive Management,2,2550
30,AU,Sydney,CN,Beijing,10,Economy Flight,Conference/Exhibition,No,8000,Customer Support,2,450
35,CN,Beijing,GB,London,12,Business Class Flight,Customer Visit,No,7000,Sales,1,3600
39,BR,Ṣo Paulo,AR,Buenos Aires,12,Business Class Flight,Conference/Exhibition,Yes,6000,Sales,3,2550
45,AU,Sydney,US,Los Angeles,12,Business Class Flight,Conference/Exhibition,No,9000,Sales,4,2400
50,US,New York,MX,Mexico City,12,Business Class Flight,Conference/Exhibition,No,7000,Sales,6,300
51,AU,Sydney,AU,Perth,17,Fiat 500 electric,Conference/Exhibition,No,7000,Executive Management,6,1800
55,BR,Ṣo Paulo,JP,Tokyo,10,Economy Flight,Customer Visit,No,9000,Sales,2,1200
64,AU,Sydney,DE,Frankfurt,10,Economy Flight,Customer Visit,No,7000,Sales,2,900
65,AU,Sydney,SG,Singapore,10,Economy Flight,Conference/Exhibition,No,7000,Customer Support,3,3600
68,DE,Berlin,FR,Paris,12,Business Class Flight,Conference/Exhibition,No,10000,Sales,4,3450
72,AU,Sydney,AU,Melbourne,15,Volkswagen Golf petrol,Conference/Exhibition,No,9000,Value Engineering,1,3600
73,BR,Ṣo Paulo,ZA,Johannesburg,10,Economy Flight,Conference/Exhibition,No,8000,Engineering,4,1200
78,US,New York,DE,Berlin,12,Business Class Flight,Internal Business Trip,No,10000,Sales,2,3000
