TripID,TravelRequestID,ExpenseRequestID,ExpenseDenialReason,ExpenseReimbursementReason,ExpenseReimbursementAmount,ReasonForTransportCancellation,NewTransportSelection,ReasonForNewTransport,NewHotelSelection,ReasonForNewHotel,NewModeOfTransportation,TransportationPriceDifference,ReasonForTransportationChange,ReasonForDelay,ExtensionLength,DaysPreapproved,ProcessCode
2,TR000002,EXP000002,Personal expense,Standard travel reimbursement,419.72,,,,,,,,,,,0,V1
4,TR000004,EXP000004,,Standard travel reimbursement,441.39,,,,New hotel chosen,Quality issue,,,,,,3,V1
5,TR000005,EXP000005,,Standard travel reimbursement,453.82,,,,,,,,,,,3,V14
14,TR000014,EXP000014,,Standard travel reimbursement,244.02,,,,,,,,,,,0,V14
15,TR000015,EXP000015,Personal expense,Standard travel reimbursement,112.52,,,,,,,,,,,3,V1
17,TR000017,EXP000017,,Policy exception approved,387.22,,,,New hotel chosen,Hotel overbooked,,,,,,2,V25
22,TR000022,EXP000022,,Partial reimbursement,360.81,,,,,,,,,,,3,V1
23,TR000023,EXP000023,,Policy exception approved,470.62,,,,,,Updated Economy Flight,193.36,Safety concern,Weather delay,,3,V21
25,TR000025,EXP000025,,Policy exception approved,375.02,,,,,,,,,,,0,V1
30,TR000030,EXP000030,,Partial reimbursement,392.49,,,,,,,,,Security screening,,2,V1
35,TR000035,EXP000035,,Standard travel reimbursement,443.88,,,,,,Updated Business Class Flight,343.38,Safety concern,,,4,V1
39,TR000039,EXP000039,Out of policy,Partial reimbursement,211.61,,Rebooked flight,Better schedule,Alternative hotel selected,Rate change,,,,,,1,V7
45,TR000045,EXP000045,Out of policy,Standard travel reimbursement,438.35,,,,,,,,,,,2,V1
50,TR000050,EXP000050,,Partial reimbursement,129.45,,Rebooked flight,Schedule conflict,New hotel chosen,Hotel overbooked,,,,,,4,V23
51,TR000051,EXP000051,,Policy exception approved,279.27,,,,,,,,,,3.0,3,V17
55,TR000055,EXP000055,,Partial reimbursement,252.85,,Rebooked flight,Schedule conflict,,,,,,,,1,V9
64,TR000064,EXP000064,,Partial reimbursement,211.89,,,,,,,,,,3.0,3,V17
65,TR000065,EXP000065,,Policy exception approved,444.2,,,,,,,,,,,2,V1
68,TR000068,EXP000068,,Partial reimbursement,445.25,,,,,,,,,,,2,V1
72,TR000072,EXP000072,,Standard travel reimbursement,486.27,,,,,,,,,,,4,V1
73,TR000073,EXP000073,,Partial reimbursement,251.98,,,,,,,,,,,2,V1
78,TR000078,EXP000078,,Standard travel reimbursement,429.49,,,,,,Updated Business Class Flight,-23.18,Time constraints,,,4,V1
80,TR000080,EXP000080,Personal expense,Standard travel reimbursement,352.68,,Rebooked flight,Better schedule,New hotel chosen,Quality issue,Updated Economy Flight,81.66,Time constraints,,,0,V10
86,TR000086,EXP000086,,Partial reimbursement,534.5,,,,,,,,,,3.0,1,V18
87,TR000087,EXP000087,,Standard travel reimbursement,117.42,,Rebooked flight,Route change,New hotel chosen,Rate change,,,,,,4,V23
96,TR000096,EXP000096,,Partial reimbursement,219.33,,,,,,,,,,,4,V1
97,TR000097,EXP000097,,Partial reimbursement,333.0,,Rebooked rental,Route change,,,,,,,,0,V23
101,TR000101,EXP000101,,Policy exception approved,237.38,,,,,,,,,,,3,V1
102,TR000102,EXP000102,,Policy exception approved,422.06,,,,,,,,,,,0,V1
106,TR000106,EXP000106,,Standard travel reimbursement,317.77,,,,,,,,,,,2,V1
107,TR000107,EXP000107,,Policy exception approved,437.56,,Rebooked rental,Better schedule,Alternative hotel selected,Quality issue,,,,,,1,V10
118,TR000118,EXP000118,,Partial reimbursement,395.12,,Rebooked flight,Cheaper fare,,,,,,,,0,V30
122,TR000122,EXP000122,,Partial reimbursement,411.23,Personal emergency,,,,,,,,,,4,V12
130,TR000130,EXP000130,,Partial reimbursement,408.73,,,,,,Updated Economy Flight,-250.22,Cost optimization,,,0,V1
140,TR000140,EXP000140,,Partial reimbursement,144.13,,,,,,,,,,,3,V1
141,TR000141,EXP000141,,Policy exception approved,182.22,,,,,,,,,,,1,V1
144,TR000144,EXP000144,Late submission,Standard travel reimbursement,177.75,,,,,,,,,,,2,V1
147,TR000147,EXP000147,,Policy exception approved,573.33,,,,,,,,,,,4,V1
157,TR000157,EXP000157,,Policy exception approved,440.76,,,,,,,,,,,0,V1
160,TR000160,EXP000160,,Partial reimbursement,392.71,,,,New hotel chosen,Location preference,,,,,,0,V1
